2940,N+,  Off pensando en el regalito Sinde  la que se va de la SGAE cuando se van sus corruptos Intento no sacar conclusiones (lo intento)
2941,N+,  Google explica su política de contenidos  pero no la insuficiente defensa de sus usuarios y la ventaja de la acusación http:tcoQE1kxd7D
2942,NEU,   RT lo que se agencian las agencias @quediario Avance de la portada del diario Qué miércoles 15 de febrero http:tco2mdWPWEz
2943,NONE,    Hola  esta es la portada de hoy  miércoles 4 de enero Un saludo a todos http:tcoh2PyQWLa
2944,P, le gusta This Is the Life de Amy Macdonald  en Ping http:tcoo7ek2KpO #iTunes
2945,N, El programa oculto del comisariado de los mercados era y es la carta- diktat del BCE  Ajuste+Recortes+Reforma laboral+Privatizaciones
2946,P, No te pierdas  Mitín Elías Bendodo  Javier Arenas y Mariano Rajoy  a las El Viernes  9 de marzo desde las 19:30 http:tconTjH6BgG
2947,NONE,    Este es mi twit numero 5001 http:tcodqMVlCg3
2948,N, Comienza la comparecencia del ministro en la comisión de agricultura  pesca y medio ambiente
2949,N+,  Hay que explicar lo que está sucediendo Decir la verdad de la crisis y no utilizarla para sacar beneficios electorales #debateRTVA
2950,P+,  Rubalcaba le ha propuesto a Rajoy pacto ante Europa Por lo demás reedición del debate electoral
2951,N, Listas de espera al alza en Catalunya  estallido en Grecia y debate #EntreTodos sobre la #refomalaboral http:tcoPIZAYzPe#portadaEPC
2952,P, Ahora a esperar los resultados de las elecciones mucha suerte a los andaluces y asturianos en especial a J Arenas y Cherines
2953,P, Jeje RT @MariadeOnate @Tonicanto1 Lo siento pero esta mañana me he echado unas risas a tu costa ;)
2954,P+,  Goodluck Jonathan presidente Nigeria confirma detención de todos los secuestradores del ciudadano británico y otro italiano  fallecidos ayer
2955,N, Por qué los medios de comunicación se han llenado de anuncios oficiales No había q recortar el gasto publico Quien lo denuncia
2956,NEU,   Como broma ha estado muy bienPero ahora q m quiero ir a la cama ponerm mi pijama y lavarm los dientes ya no tiene gracia #quieromimaleta
2957,NONE,    @juan_esteban @AlexdelaIglesia cuidado  que no polaricen el condensador de fluzo estoy vigilando
2958,P+,  Aznar  Nunca en los últimos años ha estado tan claro lo que se votaba Nunca ha habido un mandato tan nítido
2959,N+,  Los 7 incendios declarados en Galicia  han calcinado más de 400 hectáreas de monte Un brigadista moría en Castrelo do Val  Orense
2960,P, Venga  ya estamos en portada en el Wall Street Journal http:tcolkenl22U
2961,P, @Pleguezuelo Las propuestas de @_Rubalcaba_ demuestran que practica la #escuchaactiva http:tcoDPaxPR3E
2962,NONE,    El  vuelva usted mañana»  pero por mail - ABCes http:tcoN2n4PUux via @abc_es
2963,N, Pues sì RT @mester3 @AlejandroSanz ahí se ve el grado de  inteligencia  de quién ideó ese anuncio
2964,P+,  Hoy me lo he pasado bomba en @El_Hormiguero http:tcokrQjAlCj
2965,N, Ojo Urdangarines RT oportunidad @ines_calderon Montoro anuncia amnistía fiscal para quien traiga los millones a España #consejoministros
2966,P+,  Estirando un poco después del partido tan exigente de hoy Partidazo Ahora solo pensar en el partido del martes http:tcoc8rb76j5
2967,N+,   Y por otro lado  el PSOE no cree q el 5 8% sea un objetivo  realista  Pero no dice cuál lo sería ni cómo llegar a él
2968,P+,  Se ha hecho el remolónpero ha llegado y hasta suena bien:viernes 23 de diciembreHoy último programa de este 2011 de #losdesayunosdetve
2969,NEU,   Cayo Lara e IU critican presupuestos y políticas del PPPero les apoyan en Extremadura y en varios municipiosSerá por los  carguitos
2970,P+,  #cabalgatasevilla llega a PzaMagdalenaEspectacularPuedes verlo en @giraldatv y en nuestra web GRACIASEs trending topic #sevillahoy
2971,NEU,   Y si el próximo domingo a estas horas #Grinán ha desaparecido del mapa polít d Andaluc Xd Sería un hito  sin duda #25M #griñan_niregalao
2972,N+,  B Días En unos minutos  en Herrera en la Onda Huelga general Hasta ahora 35 detenidos Seguimiento desigual y guerra de cifras
2973,NONE,    Atención  periodistas Voy a explicar en unos pocos tuits la agenda de @MarianoRajoy para el 21dic  primer día como presidente del Gobierno
2974,NONE,    Empezamos en @anarosaq buenos días http:tcoKnL2y6lw
2975,P, Mañana publico en #larazóndelsábado artículo sobre el nuevo #ipad  Nos toca morder   @LARAZON_es
2976,P, Hoy en #Torremolinos @eliasbendodo @javierarenas_pp @jmsoria presentan el #LibroBlancodeTurismo para #Andalucia
2977,P+,  El gran Ferrán Adriá ahora en @apropios_rne
2978,N+,  Sarkozy cuenta en directo en la tele a 4 periodistas (que le preguntan) su subida de impuestos y otros recortes Igualito que Rajoy
2979,P, @Mile_aguirre @David_Busta cuando me vas a mandar un Besoaa Tengo qe seguir esperando Jaja saludos desde ArgentinaBESAZOOOO
2980,N, Brasil endurece los criterios de entrada a turistas españoles por reciprocidad http:tcovFunHrI8
2981,P, Hoy  como cada viernes  recomendamos vino #YWSid BCNA De la DO CATALUNYA  CLOS D AGON SyrahCabernet Franc MerlotCabernet-Sauvignon
2982,P+,  Las medidas han paliado la situación de 650 tripulantes en #Barbate Insistiré para que en tiempo récord tengamos el mejor acuerdo de pesca
2983,P, 16 estudiantes españoles salen ilesos del accidente de tren de Polonia - http:tco5y1xznCo
2984,N+,  Y la corrupción sigue Detenido el  número 2  de la Diputación de Barcelona por tráfico de influencias http:tcoYbCOS6ro
2985,N, Si Una errata RT @manuelhi @rubenjuans @cmgorriaran @Tonicanto1 Se les habrá pasado  hombre
2986,P+,  Los nuevos valores socialistas La respuesta socialista  #38CongresoPsoe http:tcoyT0cssmr
2987,P, Margallo recupera la Secretaría de Estado para Iberoamérica http:tcoEMbOFpP2
2988,N, Amaiur justifica la abstención  no participamos en la elección de un Presidente Español  #investidurarajoy
2989,N, El gobierno chino cree que el país  no está preparado  para protestas sociales - http:tcotarde por verte en la tele @AlejandroSanz ETERNO
2990,P+,  Ayer en @otramovida  m partí d la risa con @David_Busta  el momento n q s sube al coche s genuino FELICIDADES @Flofdez http:tcoOsrV42im
2991,P+,  En la XII edición Premios Culturas de Extremadura  galardón para El Chojín
2992,N+,  En la cena de IU en Castrillón hablamos del ajuste y sus consecuencias de recesión y paro masivo  de la soberbia de Cascos y de la justicia
2993,P, Os dejo una foto con mi primo @gonzalococa que hoy es su cumple A ver si se invita a algo :P http:tcoXlw6MCKe
2994,P+,  Un beso a las dos Genial ;) RT @dariela2311 @AlejandroSanz Increible cierre de gira mi hija (cont) http:tcoLNrGe4nt
2995,NEU,   Fernández  Haríamos un mal favor ilegalizando ahora a Amaiur y Bildu   http:tcoMODa1A0G vía @elmundoes
2996,P+,  Totalmente RT @CordobeSanz_ @AlejandroSanz ke verdades mas grandes se cantan en el carnaval de Cai
2997,P+,  #gobierno premio merecido para Saenz de Santamaría;Margallo es eurodiputado respetado en BruselasPastor Mato Bañez  fama buenas gestoras
2998,NEU,    @marianorajoy   es mas fácil hacer reformas en una casa vacía pero la nuestra tiene 47 millones de personas  #17congresopp
2999,N, Los del movimiento #yonopago vuelven al ataque En el centro de Madrid están liando una buena
3000,NONE,    http:tcowithnFPg OS EPERO;)
3001,N+,  La violencia estructural sobre las mujeres es la desigualdad social y  laboral junto al  machismo ideológico  religioso y cultural
3002,P+,   @missauthonomy Acabo de terminar  que la muerte te acompañe  Sublime se le queda corto  una maravilla  Vaya  siempre quedándome corto
3003,P, @tttatitasanz @David_Busta te suena CHILE Festival de viña Quisiera verte por estos lares :)Y YO QUIETO IR
3004,N, #29M Los q quieren minimizar hablan d normalidad en la calle y de comercio abierto Los q quieren agrandarla  de las fábricas Todos sesgan
3005,N+,  No me lo esperaba tan prontoCrisis politica en IrakSegunda fuerza politica abandona la colaboracionA15 dias de la retirada tropas US
3006,P,  Noticias descombacantes está disponible http:tcoGtjLld7K
3007,NEU,   México ha patentado la primera vacuna contra el consumo de heroína http:tcooDNJvitr via @elmundoes
3008,P, La compañía de automóviles Mercedes-Benz quiere que sus coches  Clase A  cuenten con Siri  el sistema de reconocimiento de voz de Apple (EP)
3009,P+,  Planeta creativo nuevo placer otra interesante jornada con vosotros Mañana pronto estoy con @susannagriso  que sigue a 6 puntos a2
3010,NEU,   @estherpalomera @salomega @_rubalcaba @manusanchezg no sabia que el manusanchez andaba por aquí Esto se pone interesante
3011,NONE,    Hasta mañana  que hay que levantarse muy pronto
3012,N+,  Saldremos d una crisis provocada x una desregulación financiera mediante una desregulación laboral
3013,N+,    los socialistas han multiplicado por 5 la deuda publica en #Andalucia   @javierarenas_pp #elcambioandaluz
3014,N, Xq los socialistas retrasaron la reunión de la mesa del Congreso Necesitaban consultar con jefatura X eso estaban pegados al teléfono
3015,N, En el mismo Pleno q propusimos al gobierno suprimir el fondo de pensiones  planteamos regular el pago máximo en efectivo en 1000 euros
3016,N, Tremenda la narración de la periodista de Radio Nacional en Valencia  contando cómo la han golpeado http:tcogxbzYn2E
3017,N, Tomas Gómez explica en el Pleno #AsambleaMadrid un juego de niños que se llama Jenga  Yo ya no entiendo nada  que cosas tiene este Tomás
3018,NONE,    Está a dos asientos
3019,N+,  El Gobierno rompe pacto constitucional sobre déficit público Pero  la diferencia derechaizquierda es la distancia entre déficit 00 4%
3020,N+,  Desde mi ventana veía los cadáveres alineados en el suelo de Atocha Nunca olvidaré esta matanza Malditos asesinos
3021,N+,  Para los vergonzosos que  siéndolo  no dicen que son de derechas es más original decir que son agentes dobles que eso de que son de centro
3022,N, Decir que un debate divide es como decir que la democracia divide
3023,N, RT @NicodeMig  Ahora nuestras democracias tienen al enemigo dentro  http:tcodQXzvOsJ vía @LaVanguardia
3024,N, Soy consciente de que estamos pidiendo un gran esfuerzo a las familias castellanomanchegas
3025,P, Venga CAfé para todosRT @Rumbian1 @Buenafuente buenos dias Un cafe Esta recien hecho
3026,N, A las 3 en @A3noticias  el gobierno anuncia que en las próximas horas cerrará la embajada de España en Siria  en protesta por la represión
3027,N, Resultados en Sarre CDU de Merkel fuerza más votada  pero su socio de coalición  clínicamente muertos Aires de Gran Coalición
3028,NEU,   22 Entonces pensé que se confirmaba la regla de que los buenos políticos españoles terminaban en el  cementerio  de Bruselas
3029,NONE,    Portada Qué - Madrid http:tco3hHQ1OGj
3030,P, @EstebanNavarroS @maria_rey RT pliss LA CASA DE ENFRENTE TOP5 amazon BestSeller http:tcoZJTUBpZR
3031,P, Persiste
3032,P, @javiercasqueiro @manusanchezg vosotros no dejéis de intentarlo
3033,N, La Junta de Andalucia hace un balance de su gestion hoy en #malaga  Solo ejecutan el 54% del presupuesto y se ponen un  notable  #tomaYA
3034,P+,  Que ganas RT @Davarona @mrtfernandez Hola Nos vemos en iRedes  en Burgos Bss
3035,P+,  El @PSOE consigue el escaño 17 en Asturias al ganar el voto emigrante  vía @lanuevaespana @UPyD decidirá el gobierno de Asturias
3036,N, El exministro Blanco declara hoy en TSEstá imputado caso Campeón  q investiga una presunta trama de cobro irregular de subenciones públicas
3037,N+,   @cclauortega Me han echado de clase por leerle a #paula los tweets de @ristomejide  Fomentando el fracaso escolar Lo que me faltaba
3038,N, Oigo que la noche será larga en Andalucía Por lo ajustado del resultado o por cómo hará la Junta el recuento #transparencia
3039,N, Atención tanto PSOE como PP pierden votos en las andaluzas d ayer respecto a las anteriores d 2008 Diez puntos + d abstención
3040,N+,  Unamuno  Es más fácil militarizar a un civil q civilizar a un militar  Qizá sobre Millán Astray al q dijo  Venceréis pero no convenceréis
3041,N, Si es que se creen dueños y señoresLa Junta cuestiona ahora la relevancia penal de los datos que le pide la juez http:tcoxdTei4NJ
3042,NONE,    Ya puedes consultar el discurso de Rubalcaba a la Secretaría General del PSOE http:tcoxBubL2ea visita la web http:tcot235kQQx
3043,P+,  Veo Maktub  la peli de @PacoArango por segunda vez Más intensa  más sincera #recomiendoM
3044,N, Rick Santorum se retira de la campaña en las primarias republicanas  http:tcoKgc23FMX via @el_pais
3045,P, Esta noche estaré a partir de las 22 00H en el programa de Cesar Vidal   Es la noche de César   os espero :)
3046,N, Mis disculpas a @jcacho por confundirlo con Jesús Cacho
3047,N, tenemos 5 veces mas q California  Nuestra economía no puede soportar el exceso de universidades  http:tcooP4nk0xT
3048,N,  S&P pone en revisión su previsión de crecimiento de España  http:tco0PZdlt4L vía @expansioncom
3049,NONE,    RT @LittleMissJass Amigos Ya pueden votar por mi en la pagina de http:tconSPFG32a para ir a (cont) http:tcohl0Yauif
3050,N+,  En un alarde de hipocresía habla de acompañamiento a los desempleados
3051,N+,  Toma compravotos@AdrianaRey83 Portada mañana @gaceta_es  Griñán regaló 54 millones a UGT y CCOO el mismo día en q convocó las elecciones
3052,NEU,   Puede ser un héroe tanto el que triunfa como el que sucumbe  pero jamás el que abandona el combate Tomas Carlyle
3053,NONE,    En quince minutos estaré en el debate de @mananascuatro con @mrtfernandez  @Federicoquevedo  Josemari Calleja y Montse Nebreda
3054,P+,  Buenos días Oeoeoeoeoeoeoe 2 4% de share ayer el TD1 Enhorabuenaaas a todossss
3055,N, La hora que es y ni un díario he podido leer Me pone nerviosa sentirme OUT
3056,NEU,   Las criticas de algunos a Cayo  son para nosotros elogios
3057,NONE,    La Casa del Rey aconsejó a Urdangarín que dejara Noos y cambiara de actividad (fuentes de la Casa del Rey a EFE)
3058,P, Es mas me voy a retirar de twitter  gracias por seguirme y por querer saber de mi vidagracias y una pregunta como doy de baja esto
3059,N+,  Políticos (y otros) que para cuestionar y desprestigiar la huelga general añaden la palabra  política
3060,NONE,    En breve visito el stand de #CLM en FITUR donde nuestra región está representada
3061,P+,  Felicidades a todas Besos desde #Malaga RT @ccifuentes Con algunas compañeras diputadas de la #AsambleaMadrid :-) http:tcobAUnjqjc
3062,NONE,    Paso a tutear desde @gacetadirecto
3063,P, Imprescindible http:tcoxrNQTHxC vía @guardian
3064,NONE,    Si Por que De que va la chirigota del canijo RT @alfonsosillero @AlejandroSanz primoooooo  no (cont) http:tcoGrX4ztso
3065,NEU,   Bueno  planeta creativo Os dejo por hoy que mañana hay que ir pronto al atasco para llegar a @EspejoPublico Salu2
3066,N, A corto plazo  bronca a medio  empleo Un despido de 20 días para las empresas con caída de ingresos durante 9 meses http:tcoIatHXBcx
3067,NONE,    Una comparsa pidiendo por la custodia compartida #algoseestámoviendo  http:tcoKHtjMWkl
3068,P+,  Para que Andalucía siga en el camino seguro  para seguir avanzando en igualdad y en derechos #VotaPSOE
3069,P+,  @SergioRamos @davidbisbal @david_busta @2010misterchip @mariatoledomt @alejandrosanz @pabloalboran abrazo amigo Te deseo lo mejor;))
3070,N, Esperando tratamiento  http:tcobzSNqLUj
3071,P+,  Estamos en tendencias Arriba #Quitateeltop vamos a por ese tt Y la semana que viene lo sabreis todos Vamos a por ello chicos
3072,NONE,    No tengo palabras Angelina Jolie y Brad Pitt podrían estar esperando su séptimo hijo http:tco9Gen5O6G
3073,NONE,    Los senadores depositan su papeleta en la urna
3074,P, Insólito El ministro de Exteriores  Margallo  hombre de  extremo centro   felicitado por su tono moderado por toda la oposición
3075,NONE,    @julia_otero @maria_rey seguras El @psoe dice 487  465  2 y 1
3076,P+,  Enhorabuena a los presidentes del Congreso y Senado  Jesús Posada y @PioGarca y a los portavoces Alfonso Alonso y José Manuel Barreiro
3077,P+,  Hoy es el día de Andalucía  esa tierra con bandera blanquiverde que enamora y de la cual me siento tan orgulloso mi tierra
3078,NONE,    Fotos de mi reunión en #Madrid con @anapastorPP  Ministra de #Fomento http:tco4siTsD0t http:tcorBM92bBK
3079,N, Los minijobs me parecen un horror  no son una solución mágica El problema de España no está en la reforma de su mercado laboral
3080,N+,  La izquierda debe superar la resignación y la renuncia  pero también los dogmas  las sectas y las capillas irreconciliables
3081,N, Ha muerto Václav Havel  referencia moral para la izquierda europea Resistió en los malos momentos y no abandonó los ideales en los buenos
3082,N, No puedo evitar emocionarme al escuchar a @AlfonsoAlonsoPP hablar de las victimas del terrorismo el sabe lo q es luchar x la libertad
3083,NEU,   Lo importante es que mañana tras la huelga seamos capaces cada uno desde su responsabilidad  de acertar Me preocupa el nivel de algunos
3084,P,  Noticias descombacantes está disponible http:tcopdWFYyRa  Historias del día por @calpur100
3085,P+,  Un abrazo a las hermandades de todas las ciudades Que vivan la Semana Santa con la pasion que le debemos a  http:tcoKnlGKu4l
3086,N+,  @anapastor_tve si acaban de confirmarmelo El psoe dice q el informe es infumable
3087,N, #bipartito RT @lordcirus Después de leer la entrevista a Mas  aún no entiendo como el PPC ha pactaco con CiU #PPvergencia @Albert_Rivera
3088,N+,  Balance de la 1ª jornada del debate En este Parlamento se va a oir de todo pero nada lo que se diga va a importar demasiado
3089,P+,  Vaya público guapo el de Córdoba señores  gracias  Y mañana tocamos en Cádiz  cantaré por primera ver en el gran teatro Falla  otro sueño
3090,N, Ayudas bajo sospecha  http:tcoyhKpeb87 vía @addthis
3091,N,  El PP se fue mintiendo y ha vuelto mintiendo
3092,N+,  No me gusta el artículo de @el_pais contra Carme Chacón Dar patadas a Barroso en el trasero de Chacón es venganza  no información #feofeo
3093,NEU,   Sólo nos prestan felicidad los usureros
3094,P, Buenos días a todos Así amanece Madrid http:tcosiRws386
3095,N, Me han machacado pero viendo a Mari Luz (su mujer)  ya con nuestra ancianidad  dices bueno  hemos hecho lo que teníamos que hacer (Ibarrola)
3096,P+,  Lo de las mamás famosas y las marcas infantiles es total Alba Carrillo hace su primera aparición publicitaria http:tcoLBdbUEH8
3097,NONE,    En el @TelediarioInter 20:30 hemos entrevistado a Mons Juan Antonio Reig  organizador de la misa de las familias
3098,N+,  El único recorte concreto es la no renovación de funcionarios y las empresas públicas  De ahí salen 16500 millones (más los incentivos)
3099,N, La iglesia católica ofrece  una vida apasionante  y un  trabajo fijo  (para toda la eternidad) http:tcoJkbdAPDR
3100,P+,  Excelente resumen de la presentación del último disco de Bebe  escrito  por Fermín Zabalegui @1000maneras http:tco5MkZ8opU
3101,NEU,   Las sales  las sales @AlbMendoza Zapatero ofrece al Consejo de Estado su  experiencia  en la lucha contra la crisis http:tcoBNlD6fgO
3102,NEU,   @javierarenas_pp   los españoles y los andaluces nunca hubiesen perdonado que no se hubiese hecho nada   #AhoraAndalucia
3103,N+,  3500 anuncios  7000 defraudadores  cm mínimo Es l política d vivienda d l Generalitat y el control dl fraude dl Gob http:tcoBDPapwv2
3104,N, Ayer hablaba de los  liberales  con plaza de funcionario Tenemos otro buen ejemplo  liberal  http:tcoRXaSAAcX
3105,NONE,    Este saludo está dedicado a para mis teitteros
3106,P+,  #LibroBlancodeTurismo @javierarenas_pp   que gran noticia es que el gobierno vaya a abrir una linea ICO especial para ayuntamientos y CCAA
3107,N, Una escucha lo de Burguillos y comprende Xq no se pueden hacer presupuestos generales Andalucia es un pozo sin fondo @romancendoya
3108,NONE,    Camino de la India http:tcoahLa2xCN
3109,NEU,   Buenos días Comenzamos semana política clave resaca 25M- foto con Obama - huelga general - presupuestos
3110,P+,  RT @iescolar Escribiendo un análisis sobre la exclusiva internacional que difundiremos en unas horas A la una y un minuto  en Publicoes
3111,P+,  RT @Blank_isabel @paurubio me encanta tu avatar Se ve que es hermoso tu gordo :)
3112,P, De camino a bcn q hoy grabamos TSQV
3113,P+,  +1 RT @davidserrato1 @ccifuentes @quediario sin duda alguna la persona mas activa dl PP en TW es @mariviromero un saludo y buen congreso
3114,P+,  Pero muy buenas http:tcodZOXHE0p
3115,NEU,   Dos sindicalistas se paran en una tienda de ropa durante la manifestación tras gritar a- anti- anticapitalistas #paradojassindicales
3116,P, En octubre celebraremos el II Fórum de los Archipiélagos  esperamos esta vez en Baleares a instituciones y empresas de Canarias
3117,N, Nunca discutas con un idiota  la gente podría no notar la diferencia Kant (Via @ifilosofia )
3118,P, El Estado Autonómico necesita adaptarse  buscar fórmulas eficaces para resolver los problemas sin duplicidades ni centralismo #28F
3119,N+,  De verdad es posible q Urdangarin montase todo este lío Es tan tosco y escandaloso q prefiero pensar q le engaño su asesor fiscal
3120,P+,  @jesusmarana La charla entre Enric González y Martí Gómez debería animarnos a crear #maestrosquetuvimoshttp:tcoJbJqzxgV vía @el_pais
3121,NONE,    Por eso no queria dejarla abandonada en el desierto de las canciones muertas RT @RoberttoRuben @AlejandroSanz  http:tcoaNKndtev
3122,P+,  Felicidades a los Crew Peligrosos y saludos a todo el barrio Aranjuez  http:tco7cywudg5 Feliz Sábado a todos
3123,N, Una pena que nadie quiera hablar de la enmienda de @ccifuentes y @angelgarridog que pide que a nadie se le prive nunca de la sanidad
3124,P+,  A las 1745 viene al estudio de #JELO  Alicia Sanchez Camacho  seguramente la mujer con más poder hoy en Cataluña
3125,P, MAÑANA ES 13 adoro los 13  porqué ni idea pero siempre creo que me va a pasar algo bueno #13
3126,P+,  @FedericoQuevedo @mananascuatro Es que me gusta tooooooodooooooo Me siento joven cuando la escucho
3127,NONE,    La diferencia entre un ingeniero aeronáutico y yo es q cuándo salta el avión él piensa en Newton y yo en Dios
3128,P+,  Las entrada se dividiran asi primer premio 5 entradas segundo premio 3 entradas y tercer premio 2 entradas
3129,NONE,    En el blog La almeriense Carme Chacón http:tcokyAJxnF5
3130,NEU,   no puedo decir nada ;) RT @LOSMARESDESANZ @AlejandroSanz Se viene dueto con fat joe http:tcocrjJkYKA
3131,P+,  Tres ministros  el presidente del Congreso y toda la  crem  judicial en la toma de posesión de Torres-Dulce http:tcoFKqTDIAe Y tb Garci
3132,NONE,    Hola  buenas noches a todos Esta es la portada de hoy  13 de febrero http:tcouCqgo1ae
3133,P+,  Qué pedazo de MVP  Sergio Llull  aquel chico menorquín que debutó metiéndole cuatro triples a un equipo de la NBA Y Carroll
3134,P+,  Buenos días
3135,NONE,    diariosures Una peluquería 20 http:tcoGCmVcC6l
3136,NONE,    Estas son las fotos q nos han hecho llegar funcionarios de la Junta  #trituradora http:tcoi7pv9TJ1 http:tcoXmT53pSo
3137,P+,  Un mensaje especial para un luchador como Eric Abidal Toda la fuerza para tu recuperación Estamos con vos
3138,NONE,    Portada El Periódico http:tcoOuy9uNEZ
3139,N+,  Toxo a Rajoy  No se puede arruinar tres décadas de diálogo social sin pagar las consecuencias
3140,NEU,   Ya sabemos algo de lo que le está explicando Urdangarín al juez Os lo contaremos a las 15h en @informativost5
3141,N, Que los abogados acusen a Garzón de aplicar la  Razón de Estado   y que abra con ello El Mundo es para reírse  si no fuera un escándalo
3142,P, @iescolar relevante y previsible  no
